sample_id,1_ratio,1_ratio_peak_temp,1_ratio_peak_abund,1_ratio_meanstd_abund,2_ratio,2_ratio_peak_temp,2_ratio_peak_abund,2_ratio_meanstd_abund,3_ratio,3_ratio_peak_temp,3_ratio_peak_abund,3_ratio_meanstd_abund,4_ratio,4_ratio_peak_temp,4_ratio_peak_abund,4_ratio_meanstd_abund,5_ratio,5_ratio_peak_temp,5_ratio_peak_abund,5_ratio_meanstd_abund
S0028,18.0,304.958,1.0,0.7546375177378284,17.0,323.721,0.2621828709137896,0.1944848142859813,28.0,1472.506,0.2322254291622873,0.1666395339073371,44.0,361.227,0.1993986808793748,0.1183007489705769,32.0,1484.13,0.2939141412419527,0.0968603894790488
S0029,28.0,206.527,0.5039701620201439,0.4169062819488843,32.0,395.334,1.0,0.336752212931766,18.0,859.249,0.5427516847323344,0.2267214566681178,17.0,859.249,0.1310165399235934,0.055877461449312,16.0,398.529,0.1320036633046598,0.048277455250059
S0030,18.0,133.277,1.0,0.7711988157709377,17.0,139.72,0.2701563812535948,0.2075309643139138,32.0,136.495,0.2550666565396505,0.2033731319826441,16.0,139.72,0.0664524478166542,0.0537228404291631,44.0,398.507,0.0368254621749455,0.027254343912491
S0031,18.0,195.508,1.0,0.7807193727454109,32.0,214.573,0.6362176483159867,0.4298486533433988,44.0,603.228,0.8933831554540426,0.3294301832648043,28.0,612.629,0.4619003215318903,0.2729812973105432,17.0,217.721,0.2671543173984212,0.2084710115459879
S0032,28.0,1307.083,1.0,0.2560042749076063,18.0,112.561,0.0311084032690682,0.022894228971127,44.0,1307.083,0.043860926336377,0.018562901509325,32.0,128.38,0.0192319275711482,0.0150470419073757,12.0,1307.083,0.0474113669066869,0.0120917505535714
S0033,18.0,427.539,1.0,0.2675682842946233,17.0,424.457,0.2594393205931375,0.0694347936701794,32.0,421.487,0.0463981619382101,0.0190788449586204,16.0,424.457,0.0260317105421445,0.0080261844672175,64.0,998.792,0.0175795641756119,0.0031212084807355
S0034,18.0,145.615,1.0,0.4965076088985907,32.0,462.097,0.5109654043063099,0.2124551457479044,17.0,145.615,0.2374474265696205,0.1175091938927015,44.0,335.441,0.1283304694029446,0.0387375293246031,16.0,462.097,0.0682286124358603,0.0341672568161466
S0035,18.0,209.968,1.0,0.6956491392711972,28.0,996.333,0.2907164910290507,0.2510656769854341,32.0,213.244,0.334201924613834,0.2398606381511849,17.0,209.968,0.2723064674750363,0.1871479483055533,44.0,391.865,0.0848844027359064,0.074706699407964
S0036,18.0,309.447,1.0,0.2475068682131829,17.0,309.447,0.2387524291289022,0.0592278804830572,32.0,1173.166,0.1221880287347394,0.0368266253258782,1.0,312.641,0.0249000799345197,0.0089176306180945,0.0,312.641,0.0190482922205573,0.0066883208831683
S0037,32.0,574.34,1.0,0.2035322874249838,16.0,574.34,0.1346819023047857,0.0277283228207487,18.0,577.459,0.0152516960502044,0.0067820506246224,17.0,577.459,0.003912521065052,0.0017661190577956,28.0,583.852,0.0026369225825481,0.00164877640035
S0038,18.0,436.997,1.0,0.736129418869931,32.0,443.291,0.4057395000772328,0.3325092349170598,17.0,440.144,0.2428751403854296,0.1807318699611798,28.0,39.821,0.0956995679853947,0.0802032330067576,16.0,443.291,0.0777768774962874,0.061973645468954
S0039,18.0,198.389,1.0,0.5469029880751277,32.0,304.006,0.5699868478592607,0.1991227073993307,17.0,188.745,0.2374827379091053,0.1300329513225701,16.0,307.2,0.0760599037651412,0.0324378283890763,44.0,256.102,0.0724510670357853,0.0191150793105744
S0040,18.0,774.788,1.0,0.4969297807287696,32.0,790.327,0.1834102540030753,0.1451852800937576,17.0,774.788,0.2610046218128842,0.1290157208692714,1.0,391.55,0.0909026277543855,0.0747194335271475,3.0,127.532,0.0760340855824655,0.0569473872527549
S0041,28.0,28.785,0.696852849807251,0.5055279891099594,32.0,270.401,1.0,0.1408295559639752,14.0,28.764,0.040940329649339,0.0295772497951135,18.0,152.104,0.0154297757213979,0.0118058051288227,40.0,28.764,0.0139258599202819,0.0112062249102564
S0042,18.0,217.744,1.0,0.5268892270811042,32.0,304.222,0.559456891116661,0.1899878605691333,17.0,214.541,0.2364450712129159,0.124648104699668,16.0,304.222,0.0719725271141716,0.0290179561837112,1.0,249.852,0.0366248529136014,0.0259312660605935
S0043,18.0,149.304,1.0,0.2551236422946393,32.0,537.307,0.8331407240926598,0.157842329322006,17.0,149.304,0.2369923063989065,0.0605229173079987,16.0,537.307,0.1126914724228586,0.0231100945307676,1.0,152.121,0.0130937011913626,0.0058005217095155
S0044,18.0,320.826,1.0,0.4006961157605269,64.0,483.022,0.2985698467730625,0.0996693170030686,17.0,317.632,0.2388766042011196,0.09541396809473,48.0,483.022,0.2210720553372307,0.0738237188871454,32.0,483.022,0.0403996407635645,0.0168307434108904
S0045,32.0,1188.914,1.0,0.3643039442156531,18.0,134.138,0.517280452706503,0.3557608913689897,17.0,143.742,0.1281266241453051,0.0880248850397003,16.0,1185.892,0.1133031274832796,0.0466178705802219,0.0,654.358,0.036654185593974,0.0299656205487629
S0046,18.0,218.64,1.0,0.5368779537362187,17.0,215.44,0.2364892774394732,0.1276020004456518,32.0,215.44,0.1855183198899362,0.1244421988248306,16.0,221.857,0.0390506067901423,0.0245688334212868,1.0,218.64,0.0233673172519616,0.0171839496725328
S0047,18.0,364.409,0.4425360673603176,0.3156281373450263,44.0,354.913,1.0,0.2714060618791896,28.0,768.984,0.1953985119243105,0.1295767618072815,32.0,370.869,0.1309545714786727,0.1098997992624306,17.0,364.409,0.1186280196479712,0.0839046173778083
S0048,18.0,139.75,1.0,0.445767582387555,17.0,133.248,0.2613875807442974,0.114466889318039,28.0,35.054,0.1956917354093336,0.1118763729328124,32.0,35.054,0.0618750902351266,0.0377457199424643,44.0,516.341,0.0275249368692303,0.0165461393065526
S0049,18.0,914.045,1.0,1.0167822317108897,17.0,901.814,0.2466485814780328,0.2487777211457466,1.0,710.837,0.1495949881392985,0.1196495960014145,0.0,596.089,0.0961898967216952,0.0745657388197707,3.0,670.587,0.1069984301518417,0.0732393484832188
S0050,32.0,391.968,1.0,0.2999430667384064,18.0,376.001,0.2391271337742347,0.1393389475630427,44.0,359.795,0.1697116318989757,0.0544573308370843,16.0,391.968,0.1425012158175996,0.0470636831357901,17.0,382.426,0.0567726627354049,0.0337685713276311
S0051,32.0,428.633,1.0,0.3403433651114188,18.0,167.789,0.7311857308998356,0.2805577442768561,17.0,164.62,0.1816463125521833,0.0697757777005094,28.0,327.326,0.0869127537693753,0.0533953615758912,16.0,425.464,0.1343136738736212,0.05044032514775
S0052,18.0,160.646,1.0,0.670519866433144,17.0,160.646,0.2874079439171776,0.1928500112155531,16.0,160.646,0.0306753607880255,0.0206330412911591,19.0,160.646,0.0083723202913804,0.0054470319065712,28.0,85.98,0.0036172192631644,0.0029120533286729
S0053,32.0,281.297,1.0,0.7674078023166301,18.0,150.5,0.9749386093065175,0.6310679682314942,2.0,271.129,0.4451136116378104,0.2851835934844633,28.0,985.578,0.3679089863541697,0.2042479343355897,17.0,321.925,0.2948742656429702,0.1881781770597801
S0054,18.0,225.515,0.7797971857792924,0.5175563885786563,32.0,423.631,1.0,0.3716431170853999,17.0,228.733,0.1862504114026315,0.123934462985735,44.0,334.578,0.3458601239536273,0.0860681839211135,16.0,423.631,0.1370819895497076,0.0635037719779483
S0055,18.0,91.249,1.0,0.7668835389446776,32.0,192.703,0.2756025602771119,0.2055708829063662,17.0,192.703,0.2571903848090359,0.1952590531829758,1.0,173.58,0.1382540869419422,0.1148696691197697,0.0,275.627,0.1075261399151937,0.083821108316663
S0056,1.0,1167.679,0.866235625108224,0.6619994633871238,28.0,1173.721,1.0,0.4473410345702599,0.0,1152.661,0.558554559853086,0.430499996890971,3.0,1143.592,0.5530706945223303,0.4111302003257058,2.0,1173.721,0.4294069895453887,0.3151841355595958
S0057,18.0,68.897,1.0,0.4087842641292669,2.0,106.195,0.5632040050062579,0.3886313239296594,32.0,-60.17,0.2323738005840634,0.1548134764093995,17.0,68.897,0.3187317480183563,0.1489860006282981,28.0,-60.178,0.2127659574468084,0.1386536140290631
S0058,18.0,718.517,1.0,0.4222462952943787,17.0,718.517,0.2357335048490191,0.100090799468952,32.0,125.276,0.0943962300340857,0.0615971063795436,44.0,656.414,0.0918643768830186,0.0379546493776802,16.0,699.931,0.0278713356555895,0.016826104889708
S0059,18.0,153.466,0.976090206394092,0.252866599051283,44.0,697.68,0.7761067518070442,0.2215457267771357,28.0,517.35,1.0,0.2055389285973881,17.0,150.385,0.2517906006421326,0.0650120154179278,16.0,700.856,0.1284233277536504,0.0397348594606662
S0060,18.0,226.865,1.0,0.7696088455917075,32.0,207.729,0.5662176431062619,0.4030300588610144,28.0,590.31,0.4069763969325611,0.2871666384415153,44.0,580.938,0.4340659275376231,0.2011289284751748,17.0,226.865,0.262722511972184,0.1977887465492623
S0061,32.0,470.035,1.0,0.1963606364127654,18.0,101.012,0.3288606173802721,0.1064665795223633,16.0,470.035,0.13853819633467,0.0283846575064515,17.0,101.012,0.0782788828223152,0.0256632781382297,36.0,744.604,0.0235216467467058,0.0133008353817487
S0062,44.0,767.918,1.0,0.403977446382767,16.0,773.978,0.148586423913104,0.0600056215143709,28.0,764.851,0.1164807935348149,0.0481874407673342,12.0,773.978,0.0601105816913631,0.0242012791207982,18.0,409.562,0.0082495212500122,0.0063579151032586
S0063,18.0,316.638,1.0,0.3014002748241923,17.0,316.638,0.2401293491281651,0.0729843185149748,32.0,319.946,0.0450968790876635,0.0329694696507371,44.0,460.66,0.037519085257924,0.0255128788117754,1.0,316.638,0.0260755927690688,0.0149317311552983
S0064,18.0,225.913,0.827271842921932,0.547108237806569,32.0,420.855,1.0,0.379839727787722,17.0,225.913,0.1983559336668171,0.1312094370060784,44.0,335.014,0.3742781549712076,0.089435743810446,16.0,424.03,0.1371499649982421,0.0652879582632197
S0065,18.0,236.878,1.0,0.6772097860768098,32.0,201.645,0.5160519857592198,0.3459800688316682,1.0,443.492,0.2913944672957498,0.2204938410750097,3.0,351.503,0.256312144988651,0.1780040477306737,17.0,201.645,0.260570552924775,0.1733813323788597
S0066,18.0,391.228,1.0,0.1849341057480528,17.0,391.228,0.2520979602288617,0.0467990389995312,32.0,394.324,0.0743362224659421,0.0257018568130877,16.0,391.228,0.0277053971670863,0.0069881806356803,64.0,999.711,0.0371703456962489,0.0065198884941467
S0067,18.0,586.114,1.0,0.8656712167544761,17.0,589.218,0.2566071530839682,0.2235727279801587,32.0,331.289,0.1907152397168658,0.1859089559604121,16.0,586.114,0.0499770752950551,0.04656116787734,28.0,192.875,0.0243754582587038,0.01882901310475
S0068,18.0,389.802,1.0,0.238868498576591,17.0,381.203,0.2861137518818564,0.0682229305289201,28.0,859.35,0.0569365834120756,0.0395894004275066,36.0,859.35,0.058035115123145,0.0358396523606829,32.0,860.36,0.05837047767418,0.0234522557859332
S0069,18.0,177.996,1.0,0.6926434476016352,32.0,442.284,0.6762216331544583,0.4489824892914912,17.0,165.216,0.2726970323915433,0.1797958220433484,44.0,470.685,0.2919274067369237,0.1521449177387135,28.0,429.656,0.2555246654166936,0.1432426913871647
S0070,28.0,256.168,1.0,0.6144544486285817,32.0,835.828,0.5120132736303589,0.3627366918060404,17.0,268.856,0.2802978767154854,0.1925977656524155,16.0,309.974,0.2605839830108875,0.1925743457657199,18.0,1035.379,0.2615054083662158,0.1873379657689387
S0071,18.0,205.402,0.8031211255491874,0.5433515294888396,28.0,63.636,0.6598163602791246,0.5346803109163287,17.0,211.316,0.4320604392304461,0.331916261561114,32.0,99.574,0.3761027035858403,0.2814292092145465,64.0,566.765,1.0,0.2700397350068895
S0072,18.0,626.887,1.0,0.5238680817766619,32.0,611.422,0.1794926102465208,0.1259332169851608,17.0,633.043,0.2419839678540523,0.1259300255361092,16.0,623.758,0.0404405603066058,0.0251222414681996,36.0,688.985,0.0333162515862126,0.0210219179777431
S0073,18.0,107.771,1.0,0.392779102035748,32.0,114.043,0.2601301976323036,0.1462338197925344,17.0,107.771,0.2459422508247623,0.096407272892373,1.0,414.129,0.0454322442524022,0.0338983694793648,0.0,286.981,0.0350934560007849,0.0285352943301985
S0074,18.0,149.94,1.0,0.2668829669815858,44.0,694.163,0.6192833417259374,0.2189154873490348,28.0,517.134,0.940177758084956,0.187580912544017,17.0,146.869,0.2546432394585848,0.0680589281748019,16.0,697.27,0.1028542269600388,0.039102330264081
S0075,18.0,90.33,1.0,0.2186147156455906,32.0,93.335,0.1684521660000407,0.0705505325394146,17.0,90.33,0.2383635667674637,0.0525294573184475,1.0,93.335,0.0248535513382496,0.0132536055840428,16.0,93.335,0.0348078894594438,0.0122064452040783
S0076,18.0,175.358,1.0,0.3418179060356257,17.0,175.358,0.2320901558431876,0.0793615980300586,32.0,178.454,0.0505979903594867,0.025569807906072,16.0,175.358,0.0217661018543855,0.0089501518725873,28.0,198.41,0.0037453314624861,0.0027093122761148
S0077,18.0,718.544,1.0,0.4148606471148773,17.0,718.544,0.2349129986606533,0.0982637805764926,32.0,125.069,0.0916156686931717,0.0596311852514359,44.0,653.37,0.0927732592615821,0.0372750560087239,16.0,712.314,0.0276928349902501,0.01636010691457
S0078,18.0,388.576,1.0,0.2403075485421137,64.0,846.234,0.2270395464836111,0.1448600658376903,48.0,845.229,0.2130295162477168,0.1349239684610016,32.0,847.257,0.187887015194915,0.1103817016533649,17.0,388.576,0.2866239221667546,0.0682314673126507
S0079,28.0,522.676,1.0,0.2077511368294913,44.0,697.204,0.58001917255883,0.1904839621175406,18.0,151.662,0.7454677310016525,0.1878582920183474,17.0,151.662,0.1751594596159869,0.0441504351217742,16.0,697.204,0.0709457676686736,0.0242211065586849
S0080,18.0,991.549,1.0,0.852970516587424,17.0,994.614,0.2357798722169519,0.2000896156576529,1.0,936.662,0.0634050187389614,0.0510927702502646,0.0,884.774,0.045612383686372,0.0340928587125441,3.0,872.573,0.0384930866362258,0.0278066922899432
S0081,18.0,268.437,1.0,0.9516177480220332,17.0,265.263,0.2320102753596923,0.2186309890325593,1.0,255.73,0.0358596430626117,0.0280553582852857,0.0,328.793,0.0248159423762499,0.0199302580235866,3.0,306.547,0.0206084939567797,0.0168892540150139
S0082,18.0,227.351,1.0,0.4350942089660236,17.0,230.509,0.2356067770479306,0.1022731260510232,36.0,419.468,0.091947087369522,0.0462355815619243,1.0,230.509,0.0303136015364025,0.0158434394538201,38.0,419.468,0.0280419667981144,0.0141091720036063
S0083,28.0,119.577,1.0,0.7100114662280254,18.0,164.108,0.6357361117552179,0.4096670232548578,32.0,167.295,0.5469343061932213,0.3747348576703911,0.0,761.939,0.2055027387448655,0.1475277774866341,1.0,936.813,0.196988668861785,0.142344937869028
S0084,18.0,151.87,1.0,0.2923079741771862,32.0,516.935,0.805102603173511,0.1508927938967599,17.0,151.87,0.2528755366100451,0.0741444789420664,16.0,516.935,0.104442751905457,0.0219101498237196,1.0,151.87,0.0039323865063878,0.0017978690686542
S0085,44.0,759.55,1.0,0.3764359964800259,2.0,838.628,0.2563818357980822,0.1574736513319568,32.0,117.316,0.1470097638332658,0.1093050625447412,28.0,769.058,0.1919367317954348,0.0881502555560293,16.0,762.717,0.1721617373945985,0.070060817925492
S0086,32.0,547.574,1.0,0.3736726470602165,18.0,297.931,0.6181433815039196,0.3658857714545823,17.0,297.931,0.1759990665189726,0.1023669926651191,16.0,547.574,0.2113420070142743,0.0803763830841714,28.0,36.754,0.0924588386859461,0.071436658188498
S0087,18.0,214.525,1.0,0.5276944875969731,32.0,301.024,0.7986952011787657,0.2349496373455316,17.0,217.671,0.2384033933241377,0.1253264014367671,16.0,301.024,0.1047245649121095,0.0374581683383806,44.0,253.059,0.166899716755645,0.0362934680414364
S0088,18.0,474.187,1.0,0.4516595813345295,17.0,474.187,0.3474718164397213,0.1811251355369411,28.0,76.305,0.1747910625593779,0.1597720695650725,32.0,92.698,0.0655077274597502,0.0572026382662783,64.0,639.591,0.0624551032263968,0.0300778962472973
S0089,2.0,88.325,1.0,0.6713292326234964,18.0,69.893,0.9149321266968328,0.4476002072236285,28.0,-60.058,0.2895927601809955,0.2050763377061596,17.0,69.893,0.2886877828054298,0.1514902199343336,32.0,-60.053,0.1828054298642533,0.1288358832559121
S0090,32.0,568.545,1.0,0.691885768940556,18.0,446.584,0.9395714285714294,0.5994030574328383,28.0,430.235,0.5804714285714292,0.4101124837874844,2.0,543.595,0.5566428571428579,0.3550271410568431,17.0,430.235,0.338817142857143,0.2229203564406128
S0091,32.0,603.279,1.0,0.1726690841102532,16.0,603.279,0.0942817759897261,0.0170533285860975,18.0,603.279,0.0037459107795496,0.0015286899011028,28.0,620.127,0.0022130580619934,0.0007487860348,34.0,603.279,0.0036896930481719,0.0006410604189374
S0092,30.0,627.278,1.0,0.3014014633558105,32.0,627.278,0.6920414374551099,0.1973987836259749,18.0,115.668,0.090452309476719,0.0499147825909058,16.0,627.278,0.10868597458916,0.0319745621341662,14.0,627.278,0.0702011167564069,0.0216243392383267
S0093,18.0,130.717,0.7948153076068071,0.4204841250169859,32.0,459.521,1.0,0.3823347031904303,17.0,130.717,0.1876240826558093,0.1008352392132142,16.0,456.37,0.1285198022656828,0.057647426900814,44.0,329.288,0.1239831469729541,0.0458809379129715
S0094,44.0,761.632,1.0,0.365127622529017,16.0,761.632,0.1729872706199496,0.0659784079043503,28.0,761.632,0.1467346714237609,0.0580099945966894,12.0,761.632,0.0870782861325717,0.0341034489461173,18.0,761.632,0.043121539432828,0.024373176606817
S0095,18.0,148.389,1.0,0.2739567451933509,32.0,442.254,0.2643137345317172,0.1054861656840231,17.0,148.389,0.2373169117899225,0.0652770558600664,28.0,353.618,0.0234713089537718,0.0187215053941079,64.0,533.948,0.0552182865275534,0.0178809537780009
S0096,18.0,481.133,1.0,0.740026991398331,32.0,496.962,0.2785796867168402,0.2182630079356257,17.0,506.429,0.2398794881656755,0.1778288284947207,44.0,704.821,0.2484558163427888,0.1216288140663912,16.0,493.806,0.0805401688768763,0.0642863448898034
S0097,18.0,994.324,1.0,0.6420036863402485,32.0,148.919,0.1833712786080673,0.1781266215765612,17.0,991.324,0.2449219574413419,0.1593427876129109,44.0,994.324,0.4051496684158023,0.1466062316221245,1.0,973.062,0.0913144472132898,0.069297649921287
S0098,18.0,728.914,1.0,0.5680637160060548,32.0,725.803,0.4902111085988921,0.3222346840705239,17.0,725.803,0.245993294689138,0.1388669125984763,16.0,728.914,0.0952077052888575,0.0599464826345552,28.0,592.521,0.0433737797298588,0.0376177775087309
S0099,18.0,266.427,1.0,0.8576355367453468,17.0,266.427,0.2473743140766344,0.2092807797629858,32.0,314.148,0.2644950308760946,0.1500502673916812,1.0,291.907,0.0645369634907879,0.0553506645791377,0.0,282.313,0.0469568420222758,0.0360465255622923
S0100,18.0,249.132,1.0,0.7474753053752756,28.0,470.907,0.5082338350409582,0.380572596265514,32.0,223.625,0.4274114084637816,0.2998452109558743,17.0,217.211,0.2681198375687613,0.1969368883740998,16.0,274.642,0.1000171015157343,0.0721452262402741
S0101,32.0,468.725,1.0,0.1945972277795924,18.0,106.427,0.4175238043402227,0.1233479960682464,17.0,106.427,0.1003676528007219,0.0296483616668412,16.0,468.725,0.137119647019441,0.0276479255186477,36.0,786.719,0.0156227932864207,0.0099106546370222
S0102,18.0,230.969,1.0,0.8090620317385486,1.0,478.765,0.2752567514613195,0.2177168123056272,17.0,230.969,0.2580129722757405,0.1984515467582948,3.0,313.634,0.2414974039120928,0.1891555141521758,0.0,541.462,0.1778401854815002,0.1399940175420116
S0103,18.0,998.557,1.0,0.972438124095138,17.0,995.471,0.2418295653029594,0.2324626367585638,1.0,824.0,0.1179573913257397,0.0899609404755484,0.0,906.706,0.0815333710546383,0.0666367436124835,3.0,554.996,0.0683860611577158,0.0529212537700358
S0104,18.0,263.507,1.0,0.7544176237812248,32.0,311.219,0.2741773537388609,0.2353307163459788,17.0,263.507,0.2510960674157304,0.1896762950655916,1.0,867.064,0.1018829910887255,0.0819577026535036,0.0,586.655,0.0828477334366522,0.0670844707166216
