sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide,1_ratio,1_ratio_peak_temp,1_ratio_peak_abund,1_ratio_meanstd_abund,2_ratio,2_ratio_peak_temp,2_ratio_peak_abund,2_ratio_meanstd_abund,3_ratio,3_ratio_peak_temp,3_ratio_peak_abund,3_ratio_meanstd_abund,4_ratio,4_ratio_peak_temp,4_ratio_peak_abund,4_ratio_meanstd_abund,5_ratio,5_ratio_peak_temp,5_ratio_peak_abund,5_ratio_meanstd_abund
S0014,0,0,1,1,0,0,1,0,0,0,18.0,136.289,0.508005261155395,0.25820778350562285,32.0,331.716,1.0,0.1627157772076587,17.0,133.106,0.12162565142505802,0.06228730842829738,16.0,331.716,0.14560852361848756,0.029161516812559643,44.0,331.716,0.05723967756044383,0.023651608702686393
S0015,0,0,0,1,0,0,0,0,0,0,18.0,231.808,1.0,0.45690534209605166,17.0,235.048,0.2377076700615879,0.10879984075402638,32.0,251.123,0.10742291265373692,0.06682063008455759,1.0,260.735,0.03219707251938099,0.02118940254213017,16.0,244.654,0.03139514672390653,0.01654833245070848
S0016,1,1,0,1,0,1,1,1,1,0,18.0,180.578,1.0,0.5775770197274537,17.0,180.578,0.2354279803327875,0.1362251355697376,32.0,463.58,0.2486401028646269,0.07674105720323943,44.0,739.958,0.08086304969258694,0.045460872371071256,1.0,186.912,0.04241094545912265,0.029838058884944063
S0017,0,0,0,0,0,0,0,0,0,0,18.0,31.47,1.0,0.6768788637224921,32.0,43.817,0.26944507907177584,0.18834051268653335,17.0,30.329,0.2690604530653335,0.1740057718267216,28.0,972.904,0.16377937731761008,0.08827001671370541,16.0,30.83,0.07885711846832487,0.046514771799069994
S0018,0,0,0,0,0,0,1,0,0,0,18.0,706.154,1.0,0.7412306025380465,32.0,702.956,0.224662046970892,0.18717880593813582,17.0,712.411,0.24106863138608148,0.17886818329933687,16.0,643.578,0.07335109017741658,0.05743819545595333,44.0,1007.454,0.056712666453364965,0.031506656922152265
S0019,0,0,0,1,0,0,0,0,1,1,18.0,265.812,1.0,0.4723630961134092,17.0,265.812,0.23890596914220097,0.1130283894381197,64.0,677.301,0.14425761280498053,0.05679614612310288,48.0,680.404,0.10733858365432608,0.04250424634148209,32.0,683.515,0.05548480505367171,0.02880548244009836
S0020,0,0,0,0,1,0,0,0,0,0,28.0,524.364,0.9999999999999999,0.24275033771650195,18.0,156.925,0.7581951960872668,0.2252816616311505,44.0,699.585,0.4439902702687239,0.18550764885593835,17.0,156.925,0.17653761789904737,0.05258590089083737,16.0,696.516,0.05481956921010376,0.02409731655676678
S0021,1,0,0,0,0,0,0,0,0,0,18.0,372.346,1.0,0.9084794136127028,17.0,356.045,0.27220584358723426,0.2403432303953545,32.0,62.659,0.3011968355063222,0.22337704385148688,28.0,62.676,0.32378490896475304,0.17473191245925335,44.0,437.705,0.11775658486775738,0.07631257468492475
S0022,0,0,1,0,0,0,0,0,0,0,18.0,222.478,1.0,0.8085622691203009,32.0,1000.729,0.5464862842845175,0.42031562465222755,17.0,254.587,0.2633611089374973,0.20907705790101772,28.0,908.697,0.2469382263183716,0.16461900334055196,1.0,391.813,0.12203007475747253,0.08626531692272853
S0023,0,0,1,1,0,0,1,0,0,0,32.0,401.101,0.9999999999999999,0.429736144372322,18.0,160.469,0.8202570679662958,0.3622246867055139,17.0,160.469,0.19349956443435157,0.08574694192188392,44.0,288.842,0.2091272088621685,0.07656606833614713,16.0,295.26,0.1377926610862985,0.06555541741803568
S0024,0,0,0,0,0,1,0,0,0,0,18.0,125.237,1.0,0.5975565984985045,17.0,125.237,0.25866126104536524,0.15512295591397474,32.0,484.778,0.2573892477820819,0.1253190902713522,16.0,487.911,0.05537623365254007,0.031720270590192036,28.0,320.946,0.01494843994831118,0.008649838611220428
S0025,0,1,0,0,0,0,0,0,0,0,28.0,764.767,0.836420341439696,0.5312869308154684,44.0,752.143,1.0,0.47359925318685225,32.0,850.496,0.4684441233874706,0.2817273344945517,16.0,758.318,0.2514628801708232,0.13511100481654031,18.0,828.046,0.13231671784416868,0.09440379270041087
S0026,1,1,0,1,0,1,1,1,1,0,18.0,248.245,1.0,0.5958128737228545,32.0,311.978,0.534630528498459,0.25338835297661527,17.0,241.836,0.26499191607690553,0.15716896805159883,44.0,678.823,0.3162056203514882,0.1318122876400068,16.0,308.769,0.09893024644095115,0.058423075060643245
S0027,0,0,0,0,0,0,0,0,0,0,18.0,509.08,1.0,0.5658537012243969,32.0,512.256,0.4045174253016416,0.2636483311613494,17.0,515.411,0.24568527782093108,0.14571122798317795,28.0,266.108,0.08763626948371396,0.06382836172488934,16.0,515.411,0.09614356584330176,0.06208192302782614
S0028,1,0,0,0,0,0,0,0,0,0,18.0,304.958,1.0,0.7546375177378284,17.0,323.721,0.2621828709137896,0.19448481428598133,28.0,1472.506,0.23222542916228733,0.1666395339073371,44.0,361.227,0.1993986808793748,0.11830074897057692,32.0,1484.13,0.29391414124195275,0.09686038947904886
S0029,0,0,1,1,0,0,1,0,0,0,28.0,206.527,0.5039701620201439,0.41690628194888435,32.0,395.334,1.0,0.33675221293176605,18.0,859.249,0.5427516847323344,0.22672145666811788,17.0,859.249,0.13101653992359347,0.05587746144931202,16.0,398.529,0.13200366330465987,0.04827745525005903
S0030,1,0,0,0,0,0,0,0,0,0,18.0,133.277,1.0,0.7711988157709377,17.0,139.72,0.2701563812535948,0.20753096431391382,32.0,136.495,0.25506665653965055,0.20337313198264417,16.0,139.72,0.06645244781665428,0.05372284042916312,44.0,398.507,0.036825462174945506,0.027254343912491034
S0031,0,0,0,0,0,0,0,1,0,0,18.0,195.508,1.0,0.7807193727454109,32.0,214.573,0.6362176483159867,0.4298486533433988,44.0,603.228,0.8933831554540426,0.32943018326480433,28.0,612.629,0.46190032153189037,0.2729812973105432,17.0,217.721,0.26715431739842127,0.2084710115459879
S0032,0,0,0,0,0,0,0,1,0,0,28.0,1307.083,1.0,0.2560042749076063,18.0,112.561,0.031108403269068278,0.022894228971127056,44.0,1307.083,0.043860926336377,0.018562901509325023,32.0,128.38,0.019231927571148267,0.015047041907375752,12.0,1307.083,0.047411366906686944,0.012091750553571467
S0033,0,0,0,0,0,0,0,0,1,0,18.0,427.539,1.0,0.26756828429462337,17.0,424.457,0.2594393205931375,0.06943479367017945,32.0,421.487,0.04639816193821013,0.01907884495862048,16.0,424.457,0.02603171054214451,0.008026184467217572,64.0,998.792,0.017579564175611906,0.003121208480735503
S0034,0,0,0,0,0,1,1,0,0,0,18.0,145.615,1.0,0.49650760889859075,32.0,462.097,0.5109654043063099,0.21245514574790442,17.0,145.615,0.23744742656962053,0.11750919389270158,44.0,335.441,0.12833046940294462,0.03873752932460311,16.0,462.097,0.06822861243586034,0.034167256816146685
S0035,1,0,0,0,0,0,0,0,0,0,18.0,209.968,1.0,0.6956491392711972,28.0,996.333,0.2907164910290507,0.2510656769854341,32.0,213.244,0.334201924613834,0.23986063815118494,17.0,209.968,0.2723064674750363,0.1871479483055533,44.0,391.865,0.08488440273590643,0.07470669940796405
S0036,0,0,0,0,0,0,0,0,1,0,18.0,309.447,1.0,0.2475068682131829,17.0,309.447,0.23875242912890224,0.05922788048305727,32.0,1173.166,0.12218802873473947,0.03682662532587822,1.0,312.641,0.024900079934519745,0.008917630618094585,0.0,312.641,0.019048292220557355,0.00668832088316837
S0037,0,0,0,0,0,1,0,0,0,0,32.0,574.34,1.0,0.2035322874249838,16.0,574.34,0.13468190230478574,0.02772832282074874,18.0,577.459,0.01525169605020442,0.006782050624622483,17.0,577.459,0.003912521065052006,0.0017661190577956786,28.0,583.852,0.0026369225825481563,0.0016487764003500225
S0038,0,0,0,0,0,0,1,0,0,0,18.0,436.997,1.0,0.736129418869931,32.0,443.291,0.4057395000772328,0.33250923491705986,17.0,440.144,0.24287514038542968,0.18073186996117985,28.0,39.821,0.09569956798539475,0.08020323300675766,16.0,443.291,0.07777687749628742,0.06197364546895408
S0039,0,0,1,0,0,0,0,0,0,0,18.0,198.389,1.0,0.5469029880751277,32.0,304.006,0.5699868478592607,0.1991227073993307,17.0,188.745,0.23748273790910535,0.13003295132257012,16.0,307.2,0.0760599037651412,0.03243782838907632,44.0,256.102,0.07245106703578531,0.019115079310574414
S0040,0,0,0,0,0,0,0,0,0,1,18.0,774.788,1.0,0.4969297807287696,32.0,790.327,0.18341025400307537,0.1451852800937576,17.0,774.788,0.26100462181288425,0.12901572086927143,1.0,391.55,0.09090262775438553,0.0747194335271475,3.0,127.532,0.0760340855824655,0.05694738725275499
S0041,0,0,0,0,0,0,0,0,0,0,28.0,28.785,0.696852849807251,0.5055279891099594,32.0,270.401,0.9999999999999999,0.1408295559639752,14.0,28.764,0.040940329649339045,0.02957724979511351,18.0,152.104,0.015429775721397993,0.011805805128822774,40.0,28.764,0.0139258599202819,0.011206224910256446
S0042,0,0,1,0,0,0,0,0,0,0,18.0,217.744,1.0,0.5268892270811042,32.0,304.222,0.559456891116661,0.1899878605691333,17.0,214.541,0.2364450712129159,0.124648104699668,16.0,304.222,0.07197252711417165,0.029017956183711266,1.0,249.852,0.03662485291360149,0.025931266060593525
S0043,0,0,0,0,0,1,0,0,0,0,18.0,149.304,1.0,0.2551236422946393,32.0,537.307,0.8331407240926598,0.15784232932200604,17.0,149.304,0.2369923063989065,0.06052291730799873,16.0,537.307,0.11269147242285862,0.02311009453076762,1.0,152.121,0.013093701191362644,0.005800521709515559
S0044,0,0,0,1,0,0,0,0,1,1,18.0,320.826,1.0,0.4006961157605269,64.0,483.022,0.29856984677306253,0.09966931700306869,17.0,317.632,0.2388766042011196,0.09541396809473002,48.0,483.022,0.2210720553372307,0.07382371888714541,32.0,483.022,0.040399640763564545,0.01683074341089042
S0045,1,0,0,0,0,0,0,0,0,0,32.0,1188.914,1.0,0.36430394421565315,18.0,134.138,0.517280452706503,0.3557608913689897,17.0,143.742,0.1281266241453051,0.08802488503970032,16.0,1185.892,0.11330312748327961,0.04661787058022195,0.0,654.358,0.03665418559397409,0.029965620548762978
S0046,0,0,1,0,0,0,0,0,0,0,18.0,218.64,1.0,0.5368779537362187,17.0,215.44,0.23648927743947323,0.1276020004456518,32.0,215.44,0.18551831988993622,0.12444219882483068,16.0,221.857,0.03905060679014232,0.024568833421286837,1.0,218.64,0.023367317251961676,0.0171839496725328
S0047,0,0,0,0,0,0,1,0,0,0,18.0,364.409,0.4425360673603176,0.3156281373450263,44.0,354.913,1.0,0.2714060618791896,28.0,768.984,0.19539851192431051,0.12957676180728156,32.0,370.869,0.13095457147867276,0.10989979926243063,17.0,364.409,0.1186280196479712,0.08390461737780838
S0048,0,0,0,0,0,0,1,0,0,0,18.0,139.75,1.0,0.44576758238755504,17.0,133.248,0.2613875807442974,0.11446688931803903,28.0,35.054,0.1956917354093336,0.11187637293281247,32.0,35.054,0.06187509023512661,0.037745719942464395,44.0,516.341,0.02752493686923033,0.01654613930655264
S0049,0,0,0,0,0,0,0,0,0,0,18.0,914.045,1.0,1.0167822317108897,17.0,901.814,0.24664858147803284,0.24877772114574664,1.0,710.837,0.1495949881392985,0.11964959600141453,0.0,596.089,0.09618989672169521,0.07456573881977072,3.0,670.587,0.10699843015184171,0.07323934848321882
S0050,0,0,1,1,0,0,1,0,0,0,32.0,391.968,0.9999999999999999,0.2999430667384064,18.0,376.001,0.2391271337742347,0.13933894756304271,44.0,359.795,0.16971163189897573,0.0544573308370843,16.0,391.968,0.1425012158175996,0.04706368313579015,17.0,382.426,0.05677266273540493,0.03376857132763112
S0051,0,0,0,1,0,1,0,0,0,0,32.0,428.633,1.0,0.3403433651114188,18.0,167.789,0.7311857308998356,0.28055774427685615,17.0,164.62,0.18164631255218336,0.06977577770050943,28.0,327.326,0.08691275376937539,0.05339536157589129,16.0,425.464,0.13431367387362123,0.05044032514775
S0052,0,0,0,0,0,0,0,0,1,0,18.0,160.646,1.0,0.670519866433144,17.0,160.646,0.2874079439171776,0.19285001121555312,16.0,160.646,0.030675360788025553,0.020633041291159178,19.0,160.646,0.008372320291380403,0.005447031906571249,28.0,85.98,0.00361721926316449,0.0029120533286729746
S0053,0,0,0,0,0,0,1,0,0,0,32.0,281.297,1.0,0.7674078023166301,18.0,150.5,0.9749386093065177,0.6310679682314942,2.0,271.129,0.44511361163781044,0.28518359348446337,28.0,985.578,0.36790898635416974,0.20424793433558974,17.0,321.925,0.29487426564297026,0.18817817705978018
S0054,0,0,0,0,0,1,1,0,0,0,18.0,225.515,0.7797971857792924,0.5175563885786563,32.0,423.631,1.0,0.3716431170853999,17.0,228.733,0.1862504114026315,0.123934462985735,44.0,334.578,0.3458601239536273,0.08606818392111351,16.0,423.631,0.13708198954970768,0.06350377197794835
S0055,0,0,0,0,0,0,0,0,0,0,18.0,91.249,1.0,0.7668835389446776,32.0,192.703,0.2756025602771119,0.20557088290636627,17.0,192.703,0.25719038480903594,0.1952590531829758,1.0,173.58,0.13825408694194224,0.1148696691197697,0.0,275.627,0.10752613991519379,0.08382110831666308
S0056,0,1,0,0,0,0,0,0,0,0,1.0,1167.679,0.866235625108224,0.6619994633871238,28.0,1173.721,1.0,0.4473410345702599,0.0,1152.661,0.558554559853086,0.43049999689097107,3.0,1143.592,0.5530706945223303,0.4111302003257058,2.0,1173.721,0.42940698954538875,0.3151841355595958
S0057,0,0,0,0,0,0,0,0,0,1,18.0,68.897,1.0,0.40878426412926694,2.0,106.195,0.5632040050062579,0.3886313239296594,32.0,-60.17,0.2323738005840634,0.1548134764093995,17.0,68.897,0.3187317480183563,0.14898600062829814,28.0,-60.178,0.21276595744680846,0.1386536140290631
S0058,0,0,1,0,0,0,1,0,0,0,18.0,718.517,1.0,0.42224629529437874,17.0,718.517,0.23573350484901917,0.10009079946895207,32.0,125.276,0.09439623003408572,0.061597106379543645,44.0,656.414,0.09186437688301863,0.037954649377680276,16.0,699.931,0.02787133565558958,0.016826104889708024
S0059,0,0,0,0,1,0,0,0,0,0,18.0,153.466,0.9760902063940919,0.25286659905128306,44.0,697.68,0.7761067518070442,0.2215457267771357,28.0,517.35,1.0,0.20553892859738815,17.0,150.385,0.2517906006421326,0.06501201541792787,16.0,700.856,0.12842332775365042,0.03973485946066626
S0060,0,0,0,0,0,0,0,1,0,0,18.0,226.865,0.9999999999999999,0.7696088455917075,32.0,207.729,0.5662176431062619,0.4030300588610144,28.0,590.31,0.4069763969325611,0.28716663844151535,44.0,580.938,0.4340659275376231,0.20112892847517486,17.0,226.865,0.262722511972184,0.19778874654926235
S0061,0,0,0,1,0,1,1,0,0,0,32.0,470.035,1.0,0.19636063641276547,18.0,101.012,0.32886061738027217,0.10646657952236337,16.0,470.035,0.13853819633467,0.028384657506451565,17.0,101.012,0.07827888282231521,0.02566327813822973,36.0,744.604,0.023521646746705874,0.01330083538174872
S0062,0,1,0,0,0,0,0,0,0,1,44.0,767.918,1.0,0.403977446382767,16.0,773.978,0.14858642391310403,0.06000562151437093,28.0,764.851,0.11648079353481493,0.04818744076733428,12.0,773.978,0.06011058169136317,0.024201279120798204,18.0,409.562,0.008249521250012248,0.006357915103258609
S0063,0,0,0,1,0,0,0,0,0,0,18.0,316.638,1.0,0.3014002748241923,17.0,316.638,0.24012934912816516,0.07298431851497486,32.0,319.946,0.04509687908766351,0.032969469650737195,44.0,460.66,0.03751908525792408,0.025512878811775407,1.0,316.638,0.026075592769068835,0.014931731155298375
S0064,0,0,0,0,0,1,1,0,0,0,18.0,225.913,0.827271842921932,0.547108237806569,32.0,420.855,0.9999999999999999,0.379839727787722,17.0,225.913,0.19835593366681717,0.1312094370060784,44.0,335.014,0.37427815497120764,0.08943574381044606,16.0,424.03,0.13714996499824214,0.0652879582632197
S0065,0,0,0,0,0,0,0,1,0,0,18.0,236.878,1.0,0.6772097860768098,32.0,201.645,0.5160519857592198,0.3459800688316682,1.0,443.492,0.29139446729574986,0.22049384107500974,3.0,351.503,0.256312144988651,0.1780040477306737,17.0,201.645,0.260570552924775,0.17338133237885978
S0066,0,0,0,0,0,0,0,0,1,0,18.0,391.228,0.9999999999999999,0.1849341057480528,17.0,391.228,0.2520979602288617,0.046799038999531285,32.0,394.324,0.07433622246594211,0.025701856813087735,16.0,391.228,0.02770539716708635,0.006988180635680302,64.0,999.711,0.037170345696248976,0.006519888494146775
S0067,0,0,0,0,0,0,1,0,0,0,18.0,586.114,1.0,0.8656712167544761,17.0,589.218,0.2566071530839682,0.22357272798015876,32.0,331.289,0.1907152397168658,0.1859089559604121,16.0,586.114,0.04997707529505519,0.046561167877340014,28.0,192.875,0.024375458258703894,0.018829013104750086
S0068,0,0,1,0,0,0,0,0,1,0,18.0,389.802,1.0,0.23886849857659107,17.0,381.203,0.28611375188185645,0.06822293052892012,28.0,859.35,0.05693658341207568,0.03958940042750667,36.0,859.35,0.058035115123145,0.035839652360682914,32.0,860.36,0.05837047767418002,0.023452255785933275
S0069,0,0,0,1,0,1,0,0,0,0,18.0,177.996,1.0,0.6926434476016352,32.0,442.284,0.6762216331544583,0.4489824892914912,17.0,165.216,0.2726970323915433,0.1797958220433484,44.0,470.685,0.29192740673692374,0.15214491773871358,28.0,429.656,0.2555246654166936,0.14324269138716472
S0070,0,1,0,0,0,0,0,0,0,0,28.0,256.168,1.0,0.6144544486285817,32.0,835.828,0.5120132736303589,0.3627366918060404,17.0,268.856,0.2802978767154854,0.19259776565241551,16.0,309.974,0.26058398301088753,0.19257434576571997,18.0,1035.379,0.26150540836621583,0.18733796576893874
S0071,0,0,0,1,0,0,0,0,0,1,18.0,205.402,0.8031211255491874,0.5433515294888396,28.0,63.636,0.6598163602791246,0.5346803109163287,17.0,211.316,0.4320604392304461,0.331916261561114,32.0,99.574,0.37610270358584036,0.28142920921454656,64.0,566.765,1.0,0.2700397350068895
S0072,0,0,0,0,0,0,1,0,0,0,18.0,626.887,0.9999999999999999,0.5238680817766619,32.0,611.422,0.17949261024652086,0.12593321698516088,17.0,633.043,0.2419839678540523,0.12593002553610927,16.0,623.758,0.040440560306605894,0.025122241468199635,36.0,688.985,0.03331625158621269,0.02102191797774311
S0073,1,0,0,0,0,0,0,0,0,0,18.0,107.771,0.9999999999999999,0.39277910203574806,32.0,114.043,0.2601301976323036,0.14623381979253441,17.0,107.771,0.24594225082476232,0.09640727289237301,1.0,414.129,0.045432244252402214,0.03389836947936488,0.0,286.981,0.03509345600078491,0.02853529433019851
S0074,0,0,0,0,1,0,0,0,0,0,18.0,149.94,1.0,0.2668829669815858,44.0,694.163,0.6192833417259374,0.21891548734903482,28.0,517.134,0.9401777580849559,0.18758091254401704,17.0,146.869,0.2546432394585848,0.06805892817480194,16.0,697.27,0.10285422696003886,0.03910233026408105
S0075,0,0,1,0,0,0,0,0,0,0,18.0,90.33,1.0,0.21861471564559062,32.0,93.335,0.16845216600004073,0.07055053253941461,17.0,90.33,0.23836356676746376,0.052529457318447596,1.0,93.335,0.024853551338249635,0.013253605584042816,16.0,93.335,0.03480788945944381,0.01220644520407831
S0076,0,0,0,0,0,0,0,0,0,0,18.0,175.358,1.0,0.3418179060356257,17.0,175.358,0.23209015584318765,0.07936159803005863,32.0,178.454,0.050597990359486755,0.025569807906072075,16.0,175.358,0.021766101854385544,0.008950151872587308,28.0,198.41,0.003745331462486119,0.0027093122761148343
S0077,0,0,1,0,0,0,1,0,0,0,18.0,718.544,1.0,0.41486064711487736,17.0,718.544,0.23491299866065338,0.09826378057649264,32.0,125.069,0.0916156686931717,0.059631185251435945,44.0,653.37,0.09277325926158213,0.037275056008723925,16.0,712.314,0.027692834990250145,0.01636010691457007
S0078,0,0,0,1,0,0,0,0,1,0,18.0,388.576,1.0,0.24030754854211372,64.0,846.234,0.22703954648361116,0.14486006583769032,48.0,845.229,0.21302951624771688,0.1349239684610016,32.0,847.257,0.18788701519491502,0.11038170165336496,17.0,388.576,0.28662392216675464,0.06823146731265076
S0079,0,0,0,0,1,0,0,0,0,0,28.0,522.676,1.0,0.2077511368294913,44.0,697.204,0.58001917255883,0.1904839621175406,18.0,151.662,0.7454677310016525,0.18785829201834742,17.0,151.662,0.17515945961598692,0.04415043512177422,16.0,697.204,0.0709457676686736,0.02422110655868492
S0080,0,0,0,0,0,0,0,0,0,0,18.0,991.549,1.0,0.852970516587424,17.0,994.614,0.23577987221695199,0.20008961565765299,1.0,936.662,0.06340501873896141,0.05109277025026468,0.0,884.774,0.045612383686372,0.03409285871254418,3.0,872.573,0.038493086636225894,0.027806692289943213
S0081,0,0,0,0,0,0,0,0,0,0,18.0,268.437,1.0,0.9516177480220331,17.0,265.263,0.23201027535969238,0.2186309890325593,1.0,255.73,0.03585964306261179,0.02805535828528575,0.0,328.793,0.024815942376249917,0.019930258023586618,3.0,306.547,0.02060849395677979,0.016889254015013955
S0082,0,0,0,1,0,0,0,0,0,0,18.0,227.351,1.0,0.43509420896602363,17.0,230.509,0.2356067770479306,0.10227312605102326,36.0,419.468,0.09194708736952208,0.04623558156192431,1.0,230.509,0.030313601536402564,0.01584343945382013,38.0,419.468,0.02804196679811441,0.01410917200360631
S0083,0,0,0,0,0,1,0,0,0,0,28.0,119.577,1.0,0.7100114662280254,18.0,164.108,0.6357361117552179,0.4096670232548578,32.0,167.295,0.5469343061932213,0.37473485767039116,0.0,761.939,0.20550273874486555,0.14752777748663418,1.0,936.813,0.196988668861785,0.14234493786902808
S0084,1,0,0,0,0,1,0,0,0,0,18.0,151.87,1.0,0.2923079741771862,32.0,516.935,0.805102603173511,0.15089279389675994,17.0,151.87,0.25287553661004514,0.07414447894206648,16.0,516.935,0.10444275190545704,0.021910149823719617,1.0,151.87,0.003932386506387896,0.0017978690686542035
S0085,0,1,0,0,0,0,0,0,0,0,44.0,759.55,1.0,0.3764359964800259,2.0,838.628,0.2563818357980822,0.1574736513319568,32.0,117.316,0.14700976383326583,0.10930506254474129,28.0,769.058,0.19193673179543488,0.0881502555560293,16.0,762.717,0.1721617373945985,0.07006081792549206
S0086,0,0,0,1,0,1,0,0,1,0,32.0,547.574,1.0,0.3736726470602165,18.0,297.931,0.6181433815039196,0.36588577145458234,17.0,297.931,0.17599906651897268,0.10236699266511917,16.0,547.574,0.2113420070142743,0.08037638308417142,28.0,36.754,0.09245883868594613,0.07143665818849806
S0087,0,0,1,0,0,0,0,0,0,0,18.0,214.525,1.0,0.5276944875969731,32.0,301.024,0.7986952011787657,0.23494963734553165,17.0,217.671,0.23840339332413774,0.1253264014367671,16.0,301.024,0.10472456491210956,0.037458168338380664,44.0,253.059,0.16689971675564502,0.03629346804143643
S0088,0,0,0,0,0,0,0,0,1,0,18.0,474.187,0.9999999999999999,0.4516595813345295,17.0,474.187,0.3474718164397213,0.18112513553694115,28.0,76.305,0.17479106255937793,0.15977206956507256,32.0,92.698,0.06550772745975025,0.05720263826627832,64.0,639.591,0.062455103226396816,0.030077896247297377
